name,age,height
Herbert Rapp,20.80766598,nan
Terry Bennett,nan,nan
Bob Alloo,20.18617385,nan
Jon Hainline,21.25119781,nan
Larry Turville,20.10951403,nan
Carlos Schettwein,nan,nan
Dick Klitch,nan,nan
G Turner Howard,21.97399042,nan
Robin Fry,19.43326489,nan
Peter Van Lingen,nan,nan
Mike Kreiss,nan,nan
Geoff Masters,19.04175222,nan
Guillermo Aubone,15.32375086,nan
Jose Guerrero,nan,nan
Uriel Oquendo Sr,nan,nan
Luis Felipe Tavares,20.02190281,nan
John Cooper,22.91581109,nan
Hakar Zahr,nan,nan
Rolf Norberg,17.7522245,nan
Kjell Johansson,18.71868583,nan
Birger Andersson,nan,nan
Per Jemsby,nan,nan
Birger Folke,nan,nan
Leif Johansson,nan,nan
Trevor Fancutt,34.52156057,nan
Pietro Marzano,nan,nan
Alvin Gardiner,17.94113621,nan
Marc Bolle,19.57563313,nan
Harold Hunt,nan,nan
Allan Mcdonald,18.31348392,nan
Rayno Seegers,17.31416838,nan
Julian Krinsky,nan,nan
Chiraid Mukherjea,15.85763176,nan
Patricio Apey,nan,nan
Hector Romani,nan,nan
Eduardo Soriano,nan,nan
Julian Ganzabal,23.21423682,nan
Guillermo Vilas,17.23477071,180.0
Andres Molina,nan,nan
Juan Carlos Rodriguez,nan,nan
Thomas Lynch,nan,nan
Chuck De Voe,nan,nan
Luis Garcia,nan,nan
John Hammill,28.005475699999998,nan
Martin Carlstein,nan,nan
Pat Cramer,22.4366872,nan
Robert Potthast,nan,nan
Woody Blocher,18.00958248,173.0
Roscoe Tanner,17.86721424,183.0
Ted Hoehn,nan,nan
Mohammad Hossein Akbari,nan,nan
L Palman,nan,nan
Francois Pierson,nan,nan
Vladimir Zednik,22.31895962,nan
Anton Ivanov,nan,nan
Miecyslav Rybarczyk,nan,nan
Davor Stolcer,nan,nan
Peter Schlotz,nan,nan
Nick Fleury,24.23271732,nan
Milan Tajenar,nan,nan
Fred Hemmes,19.137577,nan
Byron Bertram,16.76112252,nan
Christian Kuhnke,30.30800821,nan
Jose Maria Blasi,nan,nan
